t,value
1548920092,1.073741824E9
1548920093,1.073741824E9
1548920094,1.073741824E9
1548920095,1.073741824E9
1548920096,1.073741824E9
1548920097,1.073741824E9
1548920098,1.073741824E9
1548920099,1.073741824E9
1548920100,1.073741824E9
1548920101,1.073741824E9
1548920102,1.073741824E9
1548920103,1.073741824E9
1548920104,1.073741824E9
1548920105,1.073741824E9
1548920106,1.073741824E9
1548920107,1.073741824E9
1548920108,1.073741824E9
1548920109,1.073741824E9
1548920110,1.073741824E9
1548920111,1.073741824E9
1548920112,1.073741824E9
1548920113,1.073741824E9
1548920114,1.073741824E9
1548920115,1.073741824E9
1548920116,1.073741824E9
1548920117,1.073741824E9
1548920118,1.073741824E9
1548920119,1.073741824E9
1548920120,1.073741824E9
1548920121,1.073741824E9
1548920122,1.073741824E9
1548920123,1.073741824E9
1548920124,1.073741824E9
1548920125,1.073741824E9
1548920126,1.073741824E9
1548920127,1.073741824E9
1548920128,1.073741824E9
1548920129,1.073741824E9
1548920130,1.073741824E9
1548920131,1.073741824E9
1548920132,1.073741824E9
1548920133,1.073741824E9
1548920134,1.073741824E9
1548920135,1.073741824E9
1548920136,1.073741824E9
1548920137,1.073741824E9
1548920138,1.073741824E9
1548920139,1.073741824E9
1548920140,1.073741824E9
1548920141,1.073741824E9
1548920142,1.073741824E9
1548920143,1.073741824E9
1548920144,1.073741824E9
1548920145,1.073741824E9
1548920146,1.073741824E9
1548920147,1.073741824E9
1548920148,1.073741824E9
1548920149,1.073741824E9
1548920150,1.073741824E9
1548920151,1.073741824E9
1548920152,1.073741824E9
1548920153,1.073741824E9
1548920154,1.073741824E9
1548920155,1.073741824E9
1548920156,1.073741824E9
1548920157,1.073741824E9
1548920158,1.073741824E9
1548920159,1.073741824E9
1548920160,1.073741824E9
1548920161,1.073741824E9
1548920162,1.073741824E9
1548920163,1.073741824E9
1548920164,1.073741824E9
1548920165,1.073741824E9
1548920166,1.073741824E9
1548920167,1.073741824E9
1548920168,1.073741824E9
1548920169,1.073741824E9
1548920170,1.073741824E9
1548920171,1.073741824E9
1548920172,1.073741824E9
1548920173,1.073741824E9
1548920174,1.073741824E9
1548920175,1.073741824E9
1548920176,1.073741824E9
1548920177,1.073741824E9
1548920178,1.073741824E9
1548920179,1.073741824E9
1548920180,1.073741824E9
1548920181,1.073741824E9
1548920182,1.073741824E9
1548920183,1.073741824E9
1548920184,1.073741824E9
1548920185,1.073741824E9
1548920186,1.073741824E9
1548920187,1.073741824E9
1548920188,1.073741824E9
1548920189,1.073741824E9
1548920190,1.073741824E9
1548920191,1.073741824E9
1548920192,1.073741824E9
1548920193,1.073741824E9
1548920194,1.073741824E9
1548920195,1.073741824E9
1548920196,1.073741824E9
1548920197,1.073741824E9
1548920198,1.073741824E9
1548920199,1.073741824E9
1548920200,1.073741824E9
1548920201,1.073741824E9
1548920202,1.073741824E9
1548920203,1.073741824E9
1548920204,1.073741824E9
1548920205,1.073741824E9
1548920206,1.073741824E9
1548920207,1.073741824E9
1548920208,1.073741824E9
1548920209,1.073741824E9
1548920210,1.073741824E9
1548920211,1.073741824E9
1548920212,1.073741824E9
1548920213,1.073741824E9
1548920214,1.073741824E9
1548920215,1.073741824E9
1548920216,1.073741824E9
1548920217,1.073741824E9
1548920218,1.073741824E9
1548920219,1.073741824E9
1548920220,1.073741824E9
1548920221,1.073741824E9
1548920222,1.073741824E9
1548920223,1.073741824E9
1548920224,1.073741824E9
1548920225,1.073741824E9
1548920226,1.073741824E9
1548920227,1.073741824E9
1548920228,1.073741824E9
1548920229,1.073741824E9
1548920230,1.073741824E9
1548920231,1.073741824E9
1548920232,1.073741824E9
1548920233,1.073741824E9
1548920234,1.073741824E9
1548920235,1.073741824E9
1548920236,1.073741824E9
1548920238,1.073741824E9
1548920240,1.073741824E9
1548920241,1.073741824E9
1548920242,1.073741824E9
1548920242,1.073741824E9
1548920243,1.073741824E9
1548920243,1.073741824E9
1548920244,1.073741824E9
1548920245,1.073741824E9
1548920246,1.073741824E9
1548920247,1.073741824E9
1548920248,1.073741824E9
1548920249,1.073741824E9
1548920250,1.073741824E9
1548920251,1.073741824E9
1548920252,1.073741824E9
1548920253,1.073741824E9
1548920254,1.073741824E9
1548920255,1.073741824E9
1548920256,1.073741824E9
1548920257,1.073741824E9
1548920258,1.073741824E9
1548920259,1.073741824E9
1548920260,1.073741824E9
1548920261,1.073741824E9
1548920262,1.073741824E9
1548920263,1.073741824E9
